time,temperature,precip_prob
2026-07-20T00:00,23.2,6.0
2026-07-20T01:00,22.9,15.0
2026-07-20T02:00,22.8,27.0
2026-07-20T03:00,22.6,41.0
2026-07-20T04:00,22.6,58.0
2026-07-20T05:00,22.3,76.0
2026-07-20T06:00,22.2,90.0
2026-07-20T07:00,22.4,97.0
2026-07-20T08:00,22.5,99.0
2026-07-20T09:00,22.6,100.0
2026-07-20T10:00,22.8,100.0
2026-07-20T11:00,23.1,98.0
2026-07-20T12:00,23.3,96.0
2026-07-20T13:00,23.0,94.0
2026-07-20T14:00,23.9,93.0
2026-07-20T15:00,24.7,92.0
2026-07-20T16:00,25.1,94.0
2026-07-20T17:00,25.5,97.0
2026-07-20T18:00,25.2,98.0
2026-07-20T19:00,24.5,96.0
2026-07-20T20:00,24.2,92.0
2026-07-20T21:00,24.0,88.0
2026-07-20T22:00,24.0,84.0
2026-07-20T23:00,24.2,80.0
2026-07-21T00:00,24.4,78.0
2026-07-21T01:00,24.6,80.0
2026-07-21T02:00,24.7,84.0
2026-07-21T03:00,24.5,88.0
2026-07-21T04:00,24.5,90.0
2026-07-21T05:00,24.7,92.0
2026-07-21T06:00,24.7,94.0
2026-07-21T07:00,24.9,96.0
2026-07-21T08:00,25.2,97.0
2026-07-21T09:00,24.9,98.0
2026-07-21T10:00,25.4,99.0
2026-07-21T11:00,25.7,100.0
2026-07-21T12:00,26.4,100.0
2026-07-21T13:00,26.6,100.0
2026-07-21T14:00,26.3,100.0
2026-07-21T15:00,26.2,100.0
2026-07-21T16:00,26.0,97.0
2026-07-21T17:00,26.0,93.0
2026-07-21T18:00,25.8,86.0
2026-07-21T19:00,25.4,74.0
2026-07-21T20:00,25.2,60.0
2026-07-21T21:00,24.9,51.0
2026-07-21T22:00,24.9,50.0
2026-07-21T23:00,24.8,54.0
2026-07-22T00:00,24.7,59.0
2026-07-22T01:00,24.7,65.0
2026-07-22T02:00,24.6,71.0
2026-07-22T03:00,24.6,76.0
2026-07-22T04:00,24.4,77.0
2026-07-22T05:00,24.3,75.0
2026-07-22T06:00,24.5,73.0
2026-07-22T07:00,24.7,70.0
2026-07-22T08:00,25.4,67.0
2026-07-22T09:00,26.6,65.0
2026-07-22T10:00,27.3,66.0
2026-07-22T11:00,27.4,69.0
2026-07-22T12:00,27.3,71.0
2026-07-22T13:00,27.3,73.0
2026-07-22T14:00,27.1,74.0
2026-07-22T15:00,27.8,73.0
2026-07-22T16:00,27.7,69.0
2026-07-22T17:00,27.1,63.0
2026-07-22T18:00,26.7,57.0
2026-07-22T19:00,26.0,50.0
2026-07-22T20:00,25.5,43.0
2026-07-22T21:00,25.3,39.0
2026-07-22T22:00,25.1,38.0
2026-07-22T23:00,25.0,40.0
